episode_id;part_idx;scene_idx;speaker;text;broll_query;title;template_url
ep_prostate_5ways;2;21;Mandalina;"Почему это работает?";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;22;Mandalina;"Простата вырабатывает жидкость для спермы.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;23;Mandalina;"Если эта жидкость застаивается — в ней накапливаются токсины.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;24;Mandalina;"Могут образовываться камни, начинается воспаление.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;25;Mandalina;"Эякуляция буквально промывает простату.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;26;Mandalina;"Выводит застоявшийся секрет, обновляет жидкость.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;27;Mandalina;"И совершенно не важно, как именно это происходит.";intimate couple bedroom relationship closeness warmth;ep_prostate_5ways_p2;
ep_prostate_5ways;2;28;Mandalina;"Секс или мастурбация — для простаты без разницы.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;29;Mandalina;"Главное — регулярность.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;30;Mandalina;"Многие спрашивают: а как часто это безопасно после пятидесяти?";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;31;Mandalina;"Этому я посвятила целое видео — ссылка в описании.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;32;Mandalina;"Там конкретные цифры и рекомендации.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;33;Mandalina;"И да, есть ещё видео про то, как именно мастурбация влияет на простату.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;34;Mandalina;"Механизм там интересный, тоже оставлю ссылку.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;35;Mandalina;"Главное, что я хочу сказать — это не стыдно.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;36;Mandalina;"Это ваше здоровье. Это физиология.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;37;Mandalina;"И это научно доказано.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;38;Mandalina;"А теперь последний, пятый способ.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;39;Mandalina;"Способ номер пять — правильный питьевой режим.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;40;Mandalina;"Знаете, что делают многие мужчины, когда начинаются проблемы с простатой?";man drinking water glass kitchen hydration;ep_prostate_5ways_p2;
ep_prostate_5ways;2;41;Mandalina;"Они начинают пить меньше воды.";worried man limiting water intake concerned;ep_prostate_5ways_p2;
ep_prostate_5ways;2;42;Mandalina;"Логика простая: меньше пью — реже бегаю в туалет.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;43;Mandalina;"Но это худшее, что можно сделать.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;44;Mandalina;"Когда вы пьёте мало, моча концентрируется.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;45;Mandalina;"Становится более агрессивной.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;46;Mandalina;"Раздражает мочевой пузырь и простату ещё сильнее.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;47;Mandalina;"Правильно — пить достаточно.";senior man pouring fresh water pitcher healthy;ep_prostate_5ways_p2;
ep_prostate_5ways;2;48;Mandalina;"Полтора-два литра чистой воды в день.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;49;Mandalina;"Но есть один важный нюанс.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;50;Mandalina;"Основную часть воды пейте в первой половине дня.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;51;Mandalina;"После шести вечера — ограничьте.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;52;Mandalina;"Это поможет не вставать ночью в туалет.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;53;Mandalina;"И ещё — избегайте алкоголя и кофе перед сном.";coffee cup evening avoiding caffeine night;ep_prostate_5ways_p2;
ep_prostate_5ways;2;54;Mandalina;"Они раздражают мочевой пузырь и провоцируют частые позывы.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;55;Mandalina;"Итак, давайте повторим пять способов.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;56;Mandalina;"Первый — питание. Цинк, ликопин, омега-три.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;57;Mandalina;"Семечки, помидоры, жирная рыба.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;58;Mandalina;"Второй — движение. Ходьба тридцать минут, приседания два раза в день.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;59;Mandalina;"Третий — массаж точки в промежности. Одну-две минуты ежедневно.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;60;Mandalina;"Четвёртый — регулярная эякуляция. Двадцать один раз в месяц или чаще.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;61;Mandalina;"Пятый — правильный питьевой режим. Полтора-два литра, но не на ночь.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;62;Mandalina;"Попробуйте хотя бы один из этих методов в течение недели.";motivated man planning health routine notebook;ep_prostate_5ways_p2;
ep_prostate_5ways;2;63;Mandalina;"И помните: простата не болит, пока не поздно.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;64;Mandalina;"Но теперь вы знаете, как её защитить.";confident mature man smiling content relaxed;ep_prostate_5ways_p2;
ep_prostate_5ways;2;65;Mandalina;"Это абсолютно нормально для вашего возраста — заботиться о себе.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;66;Mandalina;"Вы не одиноки. Миллионы мужчин сталкиваются с этим.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;67;Mandalina;"Если видео помогло — поставьте лайк.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;68;Mandalina;"Это поможет другим мужчинам найти эту информацию.";thumbs up like button youtube interface;ep_prostate_5ways_p2;
ep_prostate_5ways;2;69;Mandalina;"Подпишитесь, если хотите честных разговоров о здоровье без стыда.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;70;Mandalina;"Берегите себя. До встречи.";;ep_prostate_5ways_p2;
