episode_id,part_idx,scene_idx,text,speaker,broll_query,title,template_url,brolls
ep_prostate_5ways,2,29,Главное — регулярность.,Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,30,Многие спрашивают: а как часто это безопасно после пятидесяти?,Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,31,Этому я посвятила целое видео — ссылка в описании.,Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,32,Там конкретные цифры и рекомендации.,Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,33,"И да, есть ещё видео про то, как именно мастурбация влияет на простату.",Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,34,"Механизм там интересный, тоже оставлю ссылку.",Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,35,"Главное, что я хочу сказать — это не стыдно.",Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,36,Это ваше здоровье. Это физиология.,Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,37,И это научно доказано.,Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,38,"А теперь последний, пятый способ.",Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,39,Способ номер пять — правильный питьевой режим.,Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,40,"Знаете, что делают многие мужчины, когда начинаются проблемы с простатой?",Mandalina,man drinking water glass kitchen hydration,ep_prostate_5ways_p2,,man drinking water glass kitchen hydration
ep_prostate_5ways,2,41,Они начинают пить меньше воды.,Mandalina,worried man limiting water intake concerned,ep_prostate_5ways_p2,,worried man limiting water intake concerned
ep_prostate_5ways,2,42,Логика простая: меньше пью — реже бегаю в туалет.,Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,43,"Но это худшее, что можно сделать.",Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,44,"Когда вы пьёте мало, моча концентрируется.",Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,45,Становится более агрессивной.,Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,46,Раздражает мочевой пузырь и простату ещё сильнее.,Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,47,Правильно — пить достаточно.,Mandalina,senior man pouring fresh water pitcher healthy,ep_prostate_5ways_p2,,senior man pouring fresh water pitcher healthy
ep_prostate_5ways,2,48,Полтора-два литра чистой воды в день.,Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,49,Но есть один важный нюанс.,Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,50,Основную часть воды пейте в первой половине дня.,Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,51,После шести вечера — ограничьте.,Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,52,Это поможет не вставать ночью в туалет.,Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,53,И ещё — избегайте алкоголя и кофе перед сном.,Mandalina,coffee cup evening avoiding caffeine night,ep_prostate_5ways_p2,,coffee cup evening avoiding caffeine night
ep_prostate_5ways,2,54,Они раздражают мочевой пузырь и провоцируют частые позывы.,Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,55,"Итак, давайте повторим пять способов.",Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,56,"Первый — питание. Цинк, ликопин, омега-три.",Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,57,"Семечки, помидоры, жирная рыба.",Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,58,"Второй — движение. Ходьба тридцать минут, приседания два раза в день.",Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,59,Третий — массаж точки в промежности. Одну-две минуты ежедневно.,Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,60,Четвёртый — регулярная эякуляция. Двадцать один раз в месяц или чаще.,Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,61,"Пятый — правильный питьевой режим. Полтора-два литра, но не на ночь.",Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,62,Попробуйте хотя бы один из этих методов в течение недели.,Mandalina,motivated man planning health routine notebook,ep_prostate_5ways_p2,,motivated man planning health routine notebook
ep_prostate_5ways,2,63,"И помните: простата не болит, пока не поздно.",Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,64,"Но теперь вы знаете, как её защитить.",Mandalina,confident mature man smiling content relaxed,ep_prostate_5ways_p2,,confident mature man smiling content relaxed
ep_prostate_5ways,2,65,Это абсолютно нормально для вашего возраста — заботиться о себе.,Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,66,Вы не одиноки. Миллионы мужчин сталкиваются с этим.,Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,67,Если видео помогло — поставьте лайк.,Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,68,Это поможет другим мужчинам найти эту информацию.,Mandalina,thumbs up like button youtube interface,ep_prostate_5ways_p2,,thumbs up like button youtube interface
ep_prostate_5ways,2,69,"Подпишитесь, если хотите честных разговоров о здоровье без стыда.",Mandalina,,ep_prostate_5ways_p2,,
ep_prostate_5ways,2,70,Берегите себя. До встречи.,Mandalina,,ep_prostate_5ways_p2,,
